id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_balita_stunting,satuan,tahun
275,32,JAWA BARAT,3205,KABUPATEN GARUT,"11,67",PERSEN,2024
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,"9,20",PERSEN,2024
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,"2,52",PERSEN,2024
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,"6,08",PERSEN,2024
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,"5,93",PERSEN,2024
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,"3,10",PERSEN,2024
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,"7,32",PERSEN,2024
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,"2,49",PERSEN,2024
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,"1,60",PERSEN,2024
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,"1,77",PERSEN,2024
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,"1,81",PERSEN,2024
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,"1,70",PERSEN,2024
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,"4,95",PERSEN,2024
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,"1,95",PERSEN,2024
289,32,JAWA BARAT,3271,KOTA BOGOR,"2,32",PERSEN,2024
290,32,JAWA BARAT,3272,KOTA SUKABUMI,"5,85",PERSEN,2024
291,32,JAWA BARAT,3273,KOTA BANDUNG,"8,85",PERSEN,2024
292,32,JAWA BARAT,3274,KOTA CIREBON,"13,04",PERSEN,2024
293,32,JAWA BARAT,3275,KOTA BEKASI,"2,89",PERSEN,2024
294,32,JAWA BARAT,3276,KOTA DEPOK,"3,58",PERSEN,2024
295,32,JAWA BARAT,3277,KOTA CIMAHI,"2,76",PERSEN,2024
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,"17,08",PERSEN,2024
297,32,JAWA BARAT,3279,KOTA BANJAR,6.07,PERSEN,2024
